price,room_number,square_footage,floor,elevator,balcony,registered,distance
70400.0,3.5,64.0,0,1,1,1,19.902
161000.0,2.0,60.0,0,0,0,1,0.355
408000.0,3.0,122.0,2,1,0,1,13.144
187000.0,3.0,87.0,3,0,1,1,2.969
513828.0,5.0,143.0,7,1,1,0,1.454
180000.0,3.0,77.0,6,1,1,1,0.562
168000.0,2.0,52.0,3,1,1,1,2.574
87900.0,2.5,55.0,2,0,0,1,2.655
70400.0,0.5,64.0,2,1,1,1,19.902
408000.0,3.0,122.0,2,1,0,1,2.428
102000.0,3.5,73.0,1,0,1,1,2.701
179000.0,4.0,75.0,2,1,1,1,2.338
490000.0,3.0,98.0,2,1,1,1,1.725
470000.0,6.0,180.0,3,0,1,1,2.732
480000.0,8.0,242.0,5,0,1,1,0.99
89000.0,3.5,98.0,2,0,0,1,1.329
172000.0,3.0,86.0,2,0,1,1,2.06
469000.0,4.0,143.0,6,1,1,1,1.044
91000.0,2.5,66.0,2,0,0,1,4.768
408000.0,3.0,122.0,2,1,0,1,13.144
89000.0,1.0,27.0,4,0,1,1,1.128
91900.0,3.0,65.0,1,0,0,1,1.17
189000.0,2.5,65.0,12,1,1,1,1.623
189000.0,3.5,78.0,2,0,0,1,1.163
12800.0,0.5,22.0,1,0,0,0,0.0
37500.0,0.5,34.0,2,0,1,1,20.096
35720.0,0.5,32.0,3,0,1,0,20.045
439000.0,5.0,218.0,6,1,1,1,4.15
32470.0,0.5,32.0,3,0,1,0,20.045
470400.0,4.0,196.0,2,1,1,1,4.15
99000.0,2.0,54.0,4,1,1,1,0.921
205000.0,3.0,85.0,1,0,1,1,0.786
415000.0,4.0,106.0,9,1,1,1,0.203
99500.0,1.5,32.0,0,0,0,1,1.025
35000.0,1.5,36.0,0,0,1,1,12.681
89000.0,1.0,27.0,4,0,1,1,1.128
55500.0,1.0,25.0,0,0,0,0,1.038
89000.0,1.0,27.0,4,0,1,1,1.128
219000.0,2.5,73.0,1,1,1,1,1.433
18000.0,1.0,20.0,0,0,1,1,5.211
103000.0,1.5,63.0,1,0,0,1,0.249
175000.0,3.0,79.0,5,1,0,0,0.768
89900.0,1.5,54.0,11,1,1,1,2.21
48000.0,1.5,32.0,0,0,0,1,9.162
105000.0,3.0,68.0,1,0,1,1,5.32
93900.0,1.5,40.0,6,1,0,1,18.744
55000.0,1.0,28.0,0,0,0,0,3.38
108500.0,2.5,54.0,5,1,1,1,3.761
178000.0,3.5,71.0,2,1,1,1,0.727
102000.0,1.5,37.0,2,0,0,1,1.21
21000.0,2.0,51.0,3,0,1,1,23.416
107000.0,4.0,88.0,3,0,1,1,5.27
60000.0,1.5,36.0,3,0,1,1,4.352
23000.0,1.0,25.0,1,0,0,0,6.138
195000.0,3.0,64.0,2,1,1,1,0.615
61000.0,1.0,24.0,3,0,1,1,9.365
112000.0,2.0,56.0,1,0,0,1,1.071
113000.0,2.0,46.0,2,1,0,1,0.804
