id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
1704,187850,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/admirala-vukovica/61e99a2e137cb703610747e9,prodaja,stanovi,Beograd,"Voždovac opština",3,83,"etažno grejanje",NULL,1,2020,1,1,0,1,0
11490,187850,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/admirala-vukovica/61e07c075c3fd478d010ae02,prodaja,stanovi,Beograd,"Voždovac opština",3,83,"etažno grejanje",NULL,1,2020,1,1,0,1,0
9211,185400,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/banatic/60257d7bfa61da35c156ccb3,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,91,"centralno grejanje",NULL,1,2020,1,1,0,0,0
18774,185400,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/banatic/60257d7bfa61da35c156ccb3,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,91,"centralno grejanje",NULL,1,2020,1,1,0,0,0
11647,184000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/petra-kocica/6155fd1a93bc262cd25890c3,prodaja,stanovi,Beograd,"Zemun opština",3,68,"centralno grejanje",NULL,1,2020,1,1,0,0,0
11670,183600,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/petra-kocica/615d8f92039eae15ad45f0b1,prodaja,stanovi,Beograd,"Zemun opština",3,68,"etažno grejanje",NULL,1,2020,1,1,0,0,0
11941,183000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/petra-kocica/61e07c035c3fd478d010adf9,prodaja,stanovi,Beograd,"Zemun opština",3,68,"centralno grejanje",NULL,1,2020,1,1,0,0,0
1688,181650,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/admirala-vukovica/61e99a2d137cb703610747e5,prodaja,stanovi,Beograd,"Voždovac opština",3,80,"etažno grejanje",NULL,1,2020,1,1,0,1,0
14190,174000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/5e67f847273171327200b3da,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,99,"grejanje na gas",NULL,1,2020,1,1,0,0,0
14191,174000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/6149fa012fb53d44bd357723,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,99,"grejanje na gas",NULL,1,2020,1,1,0,1,0
14185,173900,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/6149fa022fb53d44bd357728,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,99,"grejanje na gas",NULL,1,2020,1,1,0,1,0
17780,173150,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/5ff973046ea0205a407d6c01,prodaja,stanovi,"Novi Sad","Stari Grad",4,87,NULL,NULL,1,2020,1,1,0,1,0
15563,172200,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/milisava-djurovica/61e19404d1797255482b1808,prodaja,stanovi,Beograd,"Voždovac opština",4,84,"centralno grejanje",NULL,1,2020,1,1,0,0,0
11630,172000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bosanska/5ecbaa5927317139ca7fc988,prodaja,stanovi,Beograd,"Zemun opština",4,86,"etažno grejanje",NULL,1,2020,0,1,0,1,0
