id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking,state
43280,174400.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/blok-63/5faadb1d1b14bb159975a4fc,prodaja,stanovi,Beograd,Bežanijski Blokovi,4.0,83.0,centralno grejanje,,1,2020,1,1,0.0,0,1,
76,174000.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/6149fa012fb53d44bd357723,prodaja,stanovi,Novi Sad,Gradske lokacije,4.0,99.0,grejanje na gas,,1,2020,1,1,0.0,1,0,
44622,174000.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/5e67f847273171327200b3da,prodaja,stanovi,Novi Sad,Gradske lokacije,4.0,99.0,grejanje na gas,,1,2020,1,1,0.0,0,0,
77,173900.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/6149fa022fb53d44bd357728,prodaja,stanovi,Novi Sad,Gradske lokacije,4.0,99.0,grejanje na gas,,1,2020,1,1,0.0,1,0,
41882,173800.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kruzni-put/619d8f194d0c157ddc22739c,prodaja,stanovi,Beograd,Voždovac opština,4.0,79.0,etažno grejanje,,2,2020,1,1,0.0,0,0,
22330,173150.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/5ff973046ea0205a407d6c01,prodaja,stanovi,Novi Sad,Stari Grad,4.0,87.0,,,1,2020,1,1,0.0,1,0,
12345,172200.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/milisava-djurovica/61e19404d1797255482b1808,prodaja,stanovi,Beograd,Voždovac opština,4.0,84.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
493,172000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/venizelosova/5fc4c8f4925e18397429e003,prodaja,stanovi,Beograd,Donji Dorćol,3.0,59.0,,,1,2020,1,0,0.0,1,0,
43028,172000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bosanska/5ecbaa5927317139ca7fc988,prodaja,stanovi,Beograd,Zemun opština,4.0,86.0,etažno grejanje,,1,2020,0,1,0.0,1,0,
26436,171250.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-patrijarha-pavla-somborski-bulevar/60eee55a51b53e448a63f04f,prodaja,stanovi,Novi Sad,Telep,4.0,133.0,grejanje na gas,,3,2020,0,1,0.0,1,1,
34274,170000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/petra-kocica/60b8d9e3584bf60bde446e13,prodaja,stanovi,Beograd,Zemun,3.0,68.0,,,1,2020,0,0,0.0,0,0,
4231,169000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-hrvoja/60a90f02b89ec750ec031d78,prodaja,stanovi,Beograd,Vračar,3.0,67.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
22340,168760.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/5ff975a06ea0205a407d70d2,prodaja,stanovi,Novi Sad,Stari Grad,4.0,75.0,,,1,2020,1,1,0.0,1,0,
41533,166500.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/jurija-gagarina/61f8128e81d68711db2532d5,prodaja,stanovi,Beograd,Novi Beograd,2.0,74.0,etažno grejanje,,2,2020,1,1,0.0,1,0,
