id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
8352,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/telep/606f1a65d3ec677e0d5e7a83,izdavanje,stanovi,"Novi Sad","Gradske lokacije",1.5,38,"grejanje na gas",NULL,1,2020,1,1,0,0,0
21121,300,https://www.4zida.rs/izdavanje/stanovi/subotica/oglas/kireska/61e6f8e74c04ef680e19aea9,izdavanje,stanovi,Subotica,"Gradske lokacije",3,68,"grejanje na gas",NULL,1,2020,0,0,0,0,1
21801,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/nova-detelinara/61dd78c619586b5389291a93,izdavanje,stanovi,"Novi Sad",Detelinara,1.5,32,"grejanje na gas",NULL,1,2020,0,0,0,0,0
5868,250,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/petrovaradin/61e9583d1820755bbd706223,izdavanje,stanovi,"Novi Sad","Gradske lokacije",1,30,"grejanje na gas",NULL,1,2020,1,1,0,0,1
21698,250,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/marije-crnobori/61ddd34d9702226886566f15,izdavanje,stanovi,Beograd,"Zvezdara opština",2,50,NULL,NULL,1,2020,1,0,0,0,0
21689,250,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/marije-crnobori/61ddd34c9702226886566f11,izdavanje,stanovi,Beograd,"Zvezdara opština",1,40,NULL,NULL,1,2020,1,0,0,0,0
21688,200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/marije-crnobori/61ddd34d9702226886566f19,izdavanje,stanovi,Beograd,"Zvezdara opština",0.5,27,NULL,NULL,1,2020,1,0,0,0,0
12422,180,https://www.4zida.rs/izdavanje/stanovi/subotica/oglas/andrije-medulica/5ed538b40c7cde2fb016a342,izdavanje,stanovi,Subotica,"Gradske lokacije",1,34,"grejanje na gas",NULL,1,2020,1,1,0,0,1
9794,180,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/prote-veljka-mirosavljevica/61a8aa802f1f3b17be2bba4b,izdavanje,stanovi,"Novi Sad","Gradske lokacije",1.5,30,"centralno grejanje",NULL,1,2020,0,1,0,0,1
16548,35,https://www.4zida.rs/izdavanje/stanovi/zlatibor/oglas/drinske-divizije/6006c2479a30912cf471ad76,izdavanje,stanovi,Zlatibor,"Gradske lokacije",1.5,40,NULL,NULL,1,2020,1,1,0,0,0
12484,30,https://www.4zida.rs/izdavanje/stanovi/vrnjacka-banja/oglas/velibora-markovica/5fef6eef4fc1171a671e17d1,izdavanje,stanovi,"Vrnjačka Banja","Gradske lokacije",1,34,"etažno grejanje",NULL,1,2020,0,1,0,0,1
12453,26,https://www.4zida.rs/izdavanje/stanovi/vrnjacka-banja/oglas/sneznik/5f5b79a09a30916f330a742d,izdavanje,stanovi,"Vrnjačka Banja","Gradske lokacije",0.5,28,"grejanje na struju",NULL,1,2020,0,1,0,0,1
12355,25,https://www.4zida.rs/izdavanje/stanovi/zlatibor/oglas/andrije-jevremovica/6177e6b87e81b823577256fe,izdavanje,stanovi,Zlatibor,"Okolne lokacije",1,37,"centralno grejanje",NULL,1,2020,1,1,0,0,1
